ordem,bloco,quem,organizacao,nome,texto
11,PRIMEIRO,Imprensa,Band,Adriana Araújo,"Vamos, então, à primeira pergunta, que será dirigida aos candidatos Felipe D'Ávila e Soraya Thronicke, nessa ordem."
12,PRIMEIRO,Imprensa,Band,Eduardo Oinegue,"E quem vai fazer a primeira pergunta é a jornalista especializada em economia Juliana Rosa, do Grupo Bandeirantes. Boa noite, Juliana."
13,PRIMEIRO,Imprensa,Band,Juliana Rosa,"Boa noite, boa noite, candidatos, boa noite a todos. Prazer estar aqui com vocês nessa noite tão importante. Pesquisas mostram que as maiores preocupações da população são inflação e emprego. Diante das dificuldades, tem-se falado muito da necessidade de estender os auxílios aos mais vulneráveis e algumas categorias, manter zerados os impostos sobre combustíveis e também aumentar salários de servidores. Mas tantos gastos não cabem nas regras fiscais. E a gente sabe que sem responsabilidade com as contas públicas, a nossa moeda perde o valor e isso gera mais inflação e baixo crescimento. Gostaria de saber como equilibrar as enormes demandas sociais e, ao mesmo tempo, garantir a responsabilidade com as contas do país. Muito obrigada."
14,PRIMEIRO,Candidato,NOVO,Felipe D'Avila,"Boa noite, Juliana, em nome da TV Bandeirantes, quero agradecer esse debate muito importante. Boa noite aos candidatos e candidatas. E boa noite a você que nos assiste. Realmente, esse é o maior problema. A economia brasileira está estagnada há mais de 20 anos. O Brasil não cresce, não aumenta a geração de emprego e renda. E nós temos de conciliar, sim, com o gasto público. Mas, pra fazer isso, é preciso cortar desperdício da máquina pública. Tem muito dinheiro sendo desperdiçado. Mas eu gostaria de me apresentar. Eu sou o Felipe, um cidadão como você, que vive do trabalho, de empreender, é dono do negócio, não vive da política, não vive de governo. E nós estamos cansados desse estado caro e ineficiente que atrapalha a vida de todo mundo que trabalha, que rala todo dia de manhã pra conseguir o seu dinheiro. Nós somos o país entre os 15 mais que cobra imposto. Pra quê? Pra dar um serviço público de péssima qualidade. Tá na hora de ter gestão pública. E, pra isso, é preciso deixar de votar no menos pior. Precisamos votar em alguém que entenda de gestão pública, assim como é o caso do governador Zema em Minas Gerais, como é o caso do prefeito Adriano Silva em Joinville. Gente que entende de gestão, sabe como cortar gasto público, equilibrar as contas públicas, atrair investimento e fazer a economia crescer. É assim que nós vamos mudar o Brasil. Muito prazer, eu sou Felipe D'Avila, candidato do Partido Novo."
15,PRIMEIRO,Imprensa,Band,Adriana Araújo,"Obrigada, candidato. Agora a candidata Soraya Thronicke responde à mesma pergunta. Por favor, candidata, boa noite."
16,PRIMEIRO,Candidato,UNIÃO,Soraya Thronicke,"Boa noite a todos. Boa noite, Juliana, obrigada pela pergunta. Mas antes eu gostaria de me apresentar. Quero primeiro cumprimentar os candidatos que vieram, o comparecimento de todos é de extrema importância, é uma obrigação dos candidatos e é um direito do eleitor conhecer todas as propostas. Não comparecer é um ato de covardia. Eu sou Soraya Thronicke, sou senadora pelo Mato Grosso do Sul, e como o outro candidato acabou de dizer, eu não sou do mundo político, eu não dependo do mundo político. Estou política porque eu tenho uma proposta. Como você, que está aí sentado no sofá, eu também estive. Estive nesses últimos 20 anos assistindo a debates como esses. E aí a minha esperança se renovava a cada quatro anos e depois só vinha decepção. Eu acho realmente que é muito chato ficar escutando aqui juridiquês e economês. Eu não vim pra brigar com ninguém, não vim pra duelar, eu vim pra falar com você na língua que todos os brasileiros entendem. Nós temos uma solução pro nosso país: é o imposto único federal. Nós trocaremos 11 impostos federais por um imposto só. E no decorrer da minha campanha, no decorrer desse debate, você vai conhecer mais sobre essa proposta inovadora, e, na verdade, revolucionária."
17,PRIMEIRO,Imprensa,Band,Eduardo Oinegue,"Agora minha pergunta será respondida pelos candidatos Simone Tebet e Jair Bolsonaro. Poder Executivo, Legislativo, Judiciário. Na Constituição, eles deveriam funcionar de forma harmoniosa, independente. Na vida real, na prática, conflitos e intromissão um no outro. Se a senhora for eleita, se o senhor for reeleito, o que pretende fazer pra reduzir esse clima de tensão que não contribui com a ordem e o progresso do Brasil?"
18,PRIMEIRO,Candidato,MDB,Simone Tebet,"Boa noite a todos. Permitam-me, antes de mais nada, agradecer à imprensa em nome da Band pelo debate que só fortalece a democracia. Cumprimentar os candidatos e a candidata e a todos que estão nos acompanhando. É muito simples: a harmonia dos poderes depende excessivamente de um presidente da república que saiba cumprir a Constituição e o seu papel. Nós, hoje, temos uma radicalização, uma desarmonia em função de termos um presidente que ameaça à democracia e aos valores democráticos a todo momento. Não respeita a imprensa livre, não respeita a independência do Supremo Tribunal Federal, do Poder Judiciário e do Poder Legislativo. A resposta é: precisamos trocar o presidente da república. Sem paz, nós não vamos unir o Brasil. Sem união, o Brasil não vai voltar a crescer, gerar emprego, renda pra população brasileira. A nossa candidatura, a candidatura do centro democrático, do MDB, do PSDB, do Cidadania e do Podemos é uma candidata que vai reposicionar o Brasil porque é a única capaz de garantir credibilidade, previsibilidade e segurança jurídica. Como professora e como advogada, respeito a Constituição e os demais poderes. Está na hora dos poderes terem as suas funções. É a política que está judicializando o Poder Judiciário, e consequentemente o Poder Judiciário acaba excedendo o seu poder. Nós vamos fazer a diferença e vamos pacificar o Brasil."
19,PRIMEIRO,Imprensa,Band,Eduardo Oinegue,Candidato Jair Bolsonaro.
20,PRIMEIRO,Candidato,PL,Jair Bolsonaro,"Assumi a Presidência, escolhi meus ministros pelos critérios técnicos, sem ingerência política. Isso causou um desconforto por parte de alguns políticos e por parte de alguns partidos, como o MDB, por exemplo. Então, eu abalei a harmonia onde todos eram amiguinhos e, obviamente, davam uma banana para o povo brasileiro. Hoje vocês conhecem quem são os meus ministros e sabem a capacidade de cada um. Possíveis problemas com o Supremo Tribunal Federal, é uma voz corrente, a ingerência, o ativismo judicial que hoje se faz presente no Brasil. Um ministro agora há pouco interferiu mandando investigar, fazendo buscas e apreensões, entre outras barbaridades em um grupo de empresários. Ou seja, esse não é o trabalho do Poder Judiciário. Reagi no tocante a isso. Como, por exemplo, também, dei anistia a um deputado federal que havia, injustamente, sido condenado a nove anos de cadeia por falar, não interessa o que ele falou, ele tem imunidade por qualquer palavra, opinião e voto. Eu não tenho problemas com poder nenhum. Alguns poderes, ou melhor, alguns ministros do Supremo Tribunal Federal que querem, a qualquer preço, interferir no Poder Executivo. Nós não podemos admitir isso daí. A harmonia tem que existir e a independência e o respeito, acima de tudo. E o respeito não falta da minha parte. De outra parte, que alguns se manifestam contrário à minha pessoa."
21,PRIMEIRO,Imprensa,Band,Adriana Araújo,"Obrigada, candidato. Agora, eu faço a próxima pergunta para os candidatos Lula e Ciro Gomes, nessa ordem. A educação no Brasil, o retrato da educação já era considerado há muitos anos ruim com o Brasil na lanterninha dos testes internacionais de avaliação da qualidade do ensino. Só que com a pandemia essa situação se agravou muito. Um estudo recente da Fundação Getúlio Vargas indica que o retrocesso no aprendizado de matemática foi de 15 anos. Em português, nossas crianças retrocederam uma década, e o abandono escolar também foi muito mais forte com a pandemia, ampliou muito, sobretudo entre as crianças de cinco a nove anos de idade. A minha pergunta é: Se eleitos, os senhores têm um plano para que o Ministério da Educação aja imediatamente para resgatar essa geração Covid de crianças que podem estar condenadas no futuro a baixos salários, a subemprego, comprometendo inclusive o crescimento do Brasil? E qual é o plano? Começamos com o candidato Lula."
22,PRIMEIRO,Candidato,PT,Luiz Inácio Lula da Silva,"Olha, primeiro eu quero parabenizar a Bandeirantes por manter a sua tradição de fazer os debates políticos na época de campanha. Segundo, dizer para vocês que, lamentavelmente, a gente não tem informação do MEC para saber quantas crianças estão hoje, sabe, com o grau de educação muito abaixo daquilo que deveria estar. Porque hoje nós temos dois tipos de estudantes. Nós temos aquele que teve acesso a tablet, computador e continuou estudando durante a pandemia, e nós temos aqueles mais pobres que não conseguiram acompanhar e ficaram sem ir para a aula. Além disso, nós temos no ensino médio uma quantidade de evasão escolar muito grande. E nós precisamos, então, trazer essas pessoas. O que eu estou comprometido a fazer? A primeira coisa que eu pretendo fazer, se ganhar as eleições, é logo no começo de janeiro convocar uma reunião com todos os governadores de Estado, convocar uma reunião com os prefeitos das capitais, no primeiro momento, para que a gente possa fazer um pacto, de fazer uma verdadeira guerra contra o atraso educacional que a pandemia deixou, e contra o atraso educacional de outras situações pelo corte de dinheiro que houve na educação. Eu sou daqueles que quando peguei a educação, eu quintupliquei o orçamento da educação, porque eu acreditava que era necessário melhorar a educação. Lamentavelmente, a educação foi abandonada nesse país."
23,PRIMEIRO,Imprensa,Band,Adriana Araújo,"Obrigada, candidato. Agora, a mesma pergunta para o candidato Ciro Gomes. Boa noite."
24,PRIMEIRO,Candidato,PDT,Ciro Gomes,"Boa noite a todos e a todas os brasileiros. Eu quero agradecer à Bandeirantes que lidera esse pool, por essa oportunidade de debater. Quero cumprimentar, dar um boa noite a todos os meus ilustres oponentes aqui, às senadoras e aos senhores candidatos. E a todos os brasileiros, eu devo dizer basicamente que essa pergunta parece ser uma escolha que Deus me deu. Por quê? Porque o Ceará tem hoje a melhor educação pública do Brasil, e eu, modestamente, ajudei a produzir isso. Nós temos em todos os indicadores de avaliação, 79 das 100 melhores escolas públicas do Brasil, e já estamos encaminhando uma equação para esse prejuízo grave que a pandemia causou entre a comunidade escolar. Porém, vamos ter clareza. Eu vou fazer durante esse debate um esforço imenso para que a gente entenda que os problemas brasileiros de hoje não são problemas que nasceram agora. O descuido com a educação brasileira parece ser um projeto de governo. Portanto, nós precisamos transformar a educação pública brasileira numa das dez melhores do mundo em 15 anos. E para isso, eu preciso dizer como. Mudar o padrão pedagógico, trocar o decoreba por um ensino emancipador, que os tempos digitais pedem, e reforçar estruturalmente o financiamento. Se nós não mudarmos o modelo de financiamento da educação brasileira, assim como da saúde, assim como de todas as grandes questões, será falsa toda e qualquer promessa ou desconhecimento da realidade em que estamos atolados no Brasil. Eu quero pedir a todos que acompanhem nas minhas redes os detalhes dessa proposta."
25,PRIMEIRO,Imprensa,Band,Eduardo Oinegue,Vamos começar agora a primeira rodada de confronto direto entre os candidatos: todos perguntam e todos respondem.
26,PRIMEIRO,Imprensa,Band,Adriana Araújo,"Lembrando que perguntas e réplicas têm um minuto cada. Respostas e tréplicas, somadas, têm quatro minutos, que serão administradas pelo próprio candidato. Pelo sorteio prévio, quem começa essa rodada indicando quem vai responder é o candidato Jair Bolsonaro. Por favor, para quem vai à sua pergunta?"
27,PRIMEIRO,Candidato,PL,Jair Bolsonaro,Ex-Presidente Lula.
28,PRIMEIRO,Imprensa,Band,Adriana Araújo,"Um minuto, por favor."
29,PRIMEIRO,Candidato,PL,Jair Bolsonaro,"Corrupção: a Petrobras, ao longo de 14 anos de PT, se endividou em aproximadamente R$ 900 bilhões. Fruto de desmandos, refinarias começadas e não concluídas, entre tantas outras coisas. Esses R$ 900 bilhões dariam para fazer 60 vezes a transposição do Rio São Francisco. Ou seja, o povo nordestino sofreu por falta d'água por causa da corrupção do seu governo. Mais ainda, esse montante é equivalente a 120 vezes o orçamento do Ministério da Infraestrutura. Eu estou falando isso para que se tenha noção do tamanho da corrupção, somente na Petrobras; e delatores devolveram R$ 6 bilhões. Ou seja, corrupção houve. Presidente Lula, o senhor quer voltar ao poder para quê? Para continuar fazendo a mesma coisa na Petrobras."
30,PRIMEIRO,Candidato,PT,Luiz Inácio Lula da Silva,"Eu acho que, de vez em quando, a gente tem que acreditar de que nada acontece por acaso. Era preciso ser ele para me perguntar, e eu sabia que essa pergunta viria. Eu acho que isso é importante porque as pessoas precisam saber de que inverdades não valem a pena na televisão. Citar números que são mentirosos, também não compensa na televisão. Aqui é importante a gente citar o seguinte: não teve nenhum Presidente da República que fez mais investigação para que a gente apurasse a corrupção do que nós fizemos. E é importante deixar claro que nós fizemos o Portal da Transparência, a fiscalização da CGU, a lei de acesso à informação, a lei anticorrupção, a lei contra crime organizado, a lei contra lavagem de dinheiro, colocamos AGU no combate à corrupção, fizemos o Coaf funcionar e movimentações bancárias atípicas. Ou seja, colocamos? Então, tudo que foi eu que nós fizemos no nosso governo."
31,PRIMEIRO,Imprensa,Band,Adriana Araújo,"Por favor, um minuto."
32,PRIMEIRO,Candidato,PL,Jair Bolsonaro,"Segundo o Palocci, tudo no seu governo foi aparelhado. Tudo. Exceto o Banco Central. Então, se todo mundo fazia malfeitos, roubava, desviava, só o ex-Presidente não sabia. E o Palocci conclui, na sua delação premiada, que foi reservado uma conta no exterior de R$ 300 milhões, que o senhor recebia pacotes, dele mesmo, R$ 50 mil, a título de propina. O seu governo foi marcado pela cleptocracia, ou seja, um governo feito à base de roubo; e essa roubalheira era para conseguir apoio dentro do Parlamento, não era apenas para o ex-Presidente Lula. Era para ele também conseguir apoio dentro do Parlamento. Assim sendo, nada justifica essa resposta mentirosa que você deu nessa questão. Sim, o seu governo foi o governo mais corrupto da história do Brasil."
33,PRIMEIRO,Candidato,PT,Luiz Inácio Lula da Silva,"Bom, é indescritível o que nós acabamos de ouvir. O Presidente precisaria estar informado de que foi exatamente no nosso governo que a Petrobras ganhou o tamanho que ganhou, com a capitalização de R$ 70 bilhões para a Petrobras crescer. O Presidente precisava saber que o meu governo é marcado pela maior política de inclusão social, pela maior geração de emprego, pelo maior aumento de salário-mínimo, pelo maior investimento na agricultura familiar, pelo maior investimento na criação da Lei Geral da Pequena Empresa, pela criação do Simples, ou seja, o nosso governo, além disso, foi o governo que mais fez investimentos na educação. São 18 universidades federais novas, 178 camps e 422 escolas técnicas, que fizeram uma revolução nesse país. O meu governo deveria ser conhecido exatamente por isso, porque quando eu cheguei à Presidência, acho que tinha 3,5 milhões de estudantes universitários; quando saí da Presidência, a gente tinha 8,5 milhões de pessoas na universidade. É exatamente isso que é a marca do meu governo: 51 milhões de hectares de terra disponibilizados para efeito de assentamento de pessoas nesse país. O menor desmatamento da Amazônia foi feito no meu governo, dos acordos que nós fizemos. Foi o meu governo que fez o acordo com a Alemanha e com a Noruega para que a gente tentasse contribuir com a preservação da Amazônia e com a exploração da riqueza da biodiversidade, para garantir possibilidade de desenvolvimento para quase 30 milhões de pessoas que moram na Amazônia. Foi o meu governo que deu cidadania ao Brasil nas suas relações internacionais. Nunca antes na história do Brasil, o Brasil foi tão respeitado no mundo. Respeitado pelos Estados Unidos, respeitado pelo Chile, pela China, pela Rússia, pela Índia, respeitado pela União Europeia; e foi exatamente no meu governo que nós fizemos com que o país que não tinha um fluxo comercial sequer de US$ 100 bilhões ultrapassasse US$ 500 bilhões de comércio no exterior. Esse país, que era um país que, quando deixei a Presidência, estava crescendo a 7,5%. Esse país, que teve 20 milhões de empregos com carteira assinada, é o país que o atual Presidente está destruindo. Está destruindo porque ele adora. Adora com bravata, adora falar números que não existem, adora entender que o povo que está aí, ouvindo a gente, acredita no que ele fala. Portanto, o país que eu deixei é um país que o povo tem saudade. É o país do emprego. É o país em que o povo tinha o direito de viver dignamente, de cabeça erguida neste país. E esse país vai voltar."
34,PRIMEIRO,Imprensa,Band,Eduardo Oinegue,O próximo a perguntar é o candidato Ciro Gomes.
35,PRIMEIRO,Candidato,PDT,Ciro Gomes,"Vou perguntar ao Presidente Jair Bolsonaro. Presidente Bolsonaro, o senhor, infelizmente, para mim, costuma falar muitos absurdos. Eu não sei se por maldade ou para desviar a atenção dos gravíssimos problemas do governo, seja de inflação, seja de corrupção, seja de problemas familiares, mas, assim, entre tantas aberrações que eu já ouvi e que me levaram a certa indignação, eu, anteontem, fiquei chocado. O senhor disse, pura e simplesmente, que o Brasil não tem gente com fome e que as pessoas não procuram pedir comida, porque o Brasil não tem, propriamente, fome; as pessoas até não comem bem, eu ouvi o senhor falando, mas que não tem fome no Brasil. O senhor não... Qualquer pessoa que conhece o Brasil como eu conheço, que anda nas ruas, vendo as pessoas com placa pedindo comida, qualquer pessoa que não tenha trocado o coração por uma pedra sabe que a fome está no lar de muitos milhões de brasileiros, que a subnutrição ofende crianças na mais jovem das idades; as mães estão nos ouvindo aqui, e elas sabem o que é uma criança dizer ""mãe, estou com fome"". O senhor não teme que isso seja interpretado como conivência com isso?"
36,PRIMEIRO,Candidato,PL,Jair Bolsonaro,"Cada um interpreta as informações como acha melhor. Ciro, inflação: você tem que falar do ""fica em casa e a economia a gente vê depois"". Agora, mesmo assim, a inflação do Brasil é uma das menores do mundo, menor até que do próprio Estados Unidos. Nós estamos colaborando na geração de empregos. Muitos diziam que apenas a partir do ano que vem voltaríamos aos números de pré-pandemia; voltamos agora. Pode ter certeza que o mês que vem devemos ter essa taxa chegando a 8%. O nosso PIB está crescendo. Nós fizemos milagre durante a pandemia. Lamentamos as mortes, mas investimos para que empregos não fossem destruídos, como os programas PRONAMPE e BEM. Atendemos os mais necessitados. Temos aqui dados do próprio Ipea, levando-se em conta o começo do meu governo, 2019, até agora: no mundo, o número de famílias na extrema pobreza cresceu, e no Brasil diminuiu... passou de 5.1 milhões para 4 milhões. Ou seja, nós atendemos aos mais necessitados. Foi o meu governo que negociou, o ano passado, passar em média R$ 190, o valor do Bolsa Família, para, no mínimo, R$ 400. Foi o meu governo, contra o voto do PT na Câmara. Foi o meu governo que, junto ao Parlamento, fez diminuir o ICMS dos combustíveis, contra o voto dos senadores do PT no Senado. E o meu governo, no corrente ano, entre outras coisas, deu mais R$ 200 para o Auxílio Brasil até o final do ano, e já está garantido com a equipe econômica que esse valor será definitivo a partir do ano que vem. Ou seja, o meu governo atendeu aos mais necessitados, e esses mais pobres que estão passando necessidade... alguns passam fome, sim, não nesse número exagerado. Querer fazer demagogia com números aqui fica complicado. Aí isso é inadmissível. E diz o próprio... próprios dados do Ipea que, por exemplo, quem ganha até US$ 1,90 por dia está na linha de pobreza. US$ 1,90 são R$ 10. E o Auxílio Brasil paga R$ 20. Quem, porventura, está abaixo do nível da pobreza... deve ter gente, sim, passando necessidade, sim... é só se cadastrar que vai passar a ganhar, então, o Auxílio Brasil de R$ 600. Ou seja, é um governo que tem olhar todo especial para os mais pobres. Demos R$ 600, três vezes maior do que o PT dava lá atrás com o Bolsa Família, e lá atrás era em média R$ 190 em valores corrigidos, onde tinha família ganhando R$ 80 por mês. Nós passamos no mínimo R$ 600, e aquela mãe que tem filho e está sem marido, ela pode passar para R$ 1.200. Lá atrás, quando se conseguia um emprego, perdia o Bolsa Família; no meu governo, não perde o Auxílio Brasil. Ou seja, um governo que atende aos mais necessitados, que procura incluí-los. Não esqueçamos que 38 milhões de pessoas perderam tudo durante a pandemia por quê? Foram obrigados a ficar em casa. E pagamos auxílio emergencial para 68 milhões de pessoas no Brasil. Um governo que pensa nos mais pobres, pensa naquele que passa fome e procura melhorar a vida deles mesmo tendo contra ele, dentro da Câmara e do Senado, partidos como PT, PCdoB, PSOL, entre outros. Então, Ciro, com todo respeito, nós fazemos a nossa parte, temos, sim, colaborado para que essa chaga seja afastada. Agora, dá uma olhadinha como é que seu PDT votou na Câmara essas propostas de reduzir o imposto dos combustíveis e aumentar o Auxílio Brasil."
37,PRIMEIRO,Candidato,PDT,Ciro Gomes,"Eu considero uma verdadeira aberração termos à testa da administração nacional brasileira um presidente que desconhece. A Rede PENSSAN é uma das instituições mais respeitadas do mundo. São números recentes. 33 milhões e 100 mil brasileiros estão passando fome. 125 milhões de brasileiros. Você tá nos ouvindo aí. Não comeram as três refeições. Só uma de cada quatro crianças no Brasil fazem três refeições. Por isso eu quero encerrar essa disputa de quem é que é mais Papai Noel em véspera de eleição, Bolsa Família, mais 200, que mostre os limites politiqueiros de uma política de renda. Nós temos que transformar isso numa política de renda como uma perna da previdência social. O programa de renda mínima Eduardo Suplicy vai garantir R$ 1.000 por domicílio, peço que você acompanhe os detalhes nas minhas redes, todas as fontes de financiamento, de onde é que vem o dinheiro, e com isso eu acabo definitivamente com a fome e também com a manipulação política e demagógica da fome e da miséria do povo por esse tipo de interesse."
38,PRIMEIRO,Imprensa,Band,Eduardo Oinegue,"Candidato Bolsonaro, o senhor tem 13 segundos pra sua tréplica."
39,PRIMEIRO,Candidato,PL,Jair Bolsonaro,"2019, cinco milhões e cem mil famílias abaixo da linha da pobreza. Mesmo com pandemia, 2022, quatro milhões de famílias. Estamos melhorando sem demagogia e com responsabilidade fiscal."
40,PRIMEIRO,Imprensa,Band,Adriana Araújo,Obrigada. O próximo candidato que faz pergunta agora é Felipe D'Avila. Pra quem o senhor vai dirigir a sua pergunta?
41,PRIMEIRO,Candidato,NOVO,Felipe D'Avila,"Pro candidato Ciro Gomes. Ciro, eu venho fazendo um trabalho no centro de liderança pública há mais de 14 anos melhorando a qualidade da gestão pública nos estados e municípios. E uma das coisas que nós precisamos melhorar é a educação, como você sabe muito bem. A gente começou a falar aqui de educação. Mas se não houver uma melhoria real na educação, não haverá aumento de produtividade. E sem produtividade, o Brasil não consegue crescer e gerar emprego nessa era do conhecimento. Eu queria perguntar pra você: neste Brasil em que nós gastamos 5,8% do PIB com educação há tantos anos, as crianças continuam não aprendendo, os professores continuam não ensinando, e eu pergunto pra você, que tem um exemplo de sucesso em Sobral, como você tem mesmo no fundamental I, o que é que nós precisamos fazer pra acabar com esse descalabro da educação? Agora, recentemente mesmo, mais de quatro ministros da educação roubam no FNDE como sempre. O que nós temos de fazer pra ter uma educação de qualidade? Porque não é gastar dinheiro, é transformar a educação de qualidade pro brasileiro."
42,PRIMEIRO,Candidato,PDT,Ciro Gomes,"Professor Felipe D'Avila, eu lhe saúdo e agradeço essa pergunta. São duas graves questões que nós precisamos considerar em relação à educação. A primeira é que tipo de educação nós oferecemos. De fato, com o mesmo dinheiro que nós aplicamos, já poderíamos ter, como o Ceará mostra, um padrão de educação muitas vezes melhor para o filho do trabalhador e pra filha do trabalhador. Por quê? Porque o padrão de escola que se oferece hoje na rede pública, salvo muito maravilhosas exceções, é o ensino do século XIX, é o ensino do século XX, é o decoreba, é o ensino sem graça, é o enciclopedismo raso em que o menino é obrigado a decorar coisas que não têm sentido pra ele em tempos de Google. Isso é puro lixo. Essa é a primeira grande questão: mudar o padrão de educação para oferecer uma pedagogia da teoria digital, do mundo digital, do mundo do conhecimento. A outra, Felipe, entenda, é financiamento. O Brasil gasta per capita muito menos do que aquele padrão que a Europa, por exemplo, gasta, que os Estados Unidos gasta, e hoje nós estamos obrigados a competir com eles em terceiros mercados ou no mercado brasileiro. Me pergunte, na sequência, como fazer isso, e eu também, se tiver oportunidade, quero dizer ao povo brasileiro que eu serei o presidente da educação e aquele que vai cuidar do bolso da família pobre brasileira."
43,PRIMEIRO,Candidato,NOVO,Felipe D'Avila,"Olha, pra colocar o Brasil entre os melhores países do mundo, nós temos de focar no aprendizado do aluno. A gente desperdiça dinheiro público com a máquina pública. Isso não melhora o aprendizado do aluno. A criança não aprende. Nós precisamos investir na carreira do professor, uma carreira pra valorização do professor. O professor precisa aprender a dar aula. O curso de Pedagogia precisa mudar completamente. É completamente arcaico hoje. E mais do que isso, nós precisamos investir no ensino profissionalizante pra reter os nossos jovens na escola, porque senão existe êxodo de mais de 48% dos jovens da escola. Então educação profissionalizante, focar na formação dos professores e mensurar o aprendizado do aluno. E não ficar desperdiçando dinheiro público com o gasto da máquina pública. Essa é a forma de fazer a educação no Brasil ser de verdade. No governo do PT teve muito gasto com educação, mas 50% das crianças não estavam devidamente alfabetizadas aos seis anos, e quatro em cada 100 só sabiam conteúdos de matemática no fim do ensino médio."
